date,time,latitude,longitude,ozone,pm
3/4/2015,19:32:58.0,38.4389444987,-78.8704752604,193,3822.48
3/4/2015,19:33:0.0,38.4389160156,-78.8704671224,249,16044.16
3/4/2015,19:33:3.0,38.4388916016,-78.8704345703,219,2346.4
3/4/2015,19:33:4.984,38.4388712565,-78.8703938802,178,0.62
3/4/2015,19:33:7.0,38.4388468424,-78.8703613281,164,0.62
3/4/2015,19:33:10.0,38.4388264974,-78.8703206380,153,0.62
3/4/2015,19:33:12.0,38.4388102214,-78.8703043620,154,5945.34
3/4/2015,19:33:14.0,38.4387858073,-78.8702799479,153,32215.59
3/4/2015,19:33:16.0,38.4387736003,-78.8702555339,146,7074.22
3/4/2015,19:33:19.0,38.4387451172,-78.8702148438,152,8807.1
3/4/2015,19:33:20.984,38.4387369792,-78.8701985677,149,10058.45
3/4/2015,19:33:23.0,38.4387247721,-78.8701741536,146,0.62
3/4/2015,19:33:26.0,38.4386881510,-78.8701253255,143,0.62
3/4/2015,19:33:28.0,38.4386678060,-78.8700927734,148,0.62
3/4/2015,19:33:30.0,38.4386515299,-78.8700764974,146,15894.97
3/4/2015,19:33:32.984,38.4386067708,-78.8700520833,148,2828.71
3/4/2015,19:33:35.0,38.4385782878,-78.8700358073,156,12315.18
3/4/2015,19:33:36.984,38.4385538737,-78.8700113932,156,0.72
3/4/2015,19:33:39.0,38.4385375977,-78.8700032552,151,1855.64
3/4/2015,19:33:42.0,38.4385213216,-78.8699544271,169,10953.04
3/4/2015,19:33:44.0,38.4385131836,-78.8699218750,154,0.62
3/4/2015,19:33:46.0,38.4384969076,-78.8698811849,155,33056.57
3/4/2015,19:33:48.984,38.4384602865,-78.8698404948,150,10569.16
3/4/2015,19:33:51.0,38.4384399414,-78.8698242188,154,1407.31
3/4/2015,19:33:52.984,38.4384236654,-78.8698079427,151,5633.44
3/4/2015,19:33:56.0,38.4383870443,-78.8697916667,152,5802.95
3/4/2015,19:33:58.0,38.4383585612,-78.8697753906,154,54719.19
3/4/2015,19:34:0.0,38.4383422852,-78.8697672526,153,12309.55
3/4/2015,19:34:3.0,38.4383015951,-78.8697672526,147,3789.2
3/4/2015,19:34:4.984,38.4382649740,-78.8697672526,168,3423.37
3/4/2015,19:34:7.0,38.4382405599,-78.8697591146,172,10534.73
3/4/2015,19:34:8.984,38.4382202148,-78.8697591146,172,2.23
